@relation caracteristicas

@attribute cima numeric
@attribute baixo numeric
@attribute esquerda numeric
@attribute direita numeric
@attribute DES numeric
@attribute DEI numeric
@attribute DDS numeric
@attribute DDI numeric
@attribute altura numeric
@attribute largura numeric
@attribute convex numeric
@attribute class {A, B, C, D, E, F, G}

@data
1113.0,1103.0,1774.0,1650.0,3715.0,3797.0,3729.0,3628.0,179,339,10699,C
1142.0,1131.0,1807.0,1689.0,3801.0,3887.0,3828.0,3737.0,163,379,12607,C
1174.0,1165.0,1870.0,1754.0,3927.0,4011.0,3956.0,3866.0,179,435,18772,C
1201.0,1193.0,1907.0,1781.0,4018.0,4106.0,4056.0,3959.0,163,203,7554,C
1229.0,1217.0,1966.0,1840.0,4137.0,4225.0,4177.0,4074.0,155,339,14865,C
1269.0,1248.0,2033.0,1909.0,4274.0,4365.0,4313.0,4208.0,211,467,16488,C
1306.0,1288.0,2093.0,1985.0,4416.0,4496.0,4473.0,4359.0,235,467,16423,C
1343.0,1320.0,2144.0,2059.0,4529.0,4617.0,4629.0,4513.0,219,427,14797,C
1381.0,1357.0,2195.0,2117.0,4652.0,4737.0,4771.0,4667.0,203,379,12143,C
1427.0,1393.0,2250.0,2199.0,4788.0,4878.0,4942.0,4836.0,211,475,15312,C
1474.0,1438.0,2330.0,2277.0,4960.0,5069.0,5104.0,4992.0,251,507,18522,C
1518.0,1489.0,2396.0,2350.0,5101.0,5224.0,5256.0,5143.0,251,419,18149,C
1554.0,1526.0,2478.0,2425.0,5277.0,5403.0,5411.0,5299.0,219,507,16745,C
1597.0,1564.0,2571.0,2513.0,5449.0,5584.0,5564.0,5444.0,243,499,17342,C
1638.0,1596.0,2625.0,2579.0,5574.0,5710.0,5712.0,5596.0,195,403,13762,C
1671.0,1633.0,2669.0,2627.0,5674.0,5814.0,5830.0,5719.0,187,283,11041,C
1704.0,1669.0,2721.0,2682.0,5797.0,5929.0,5956.0,5836.0,203,307,10908,C
1736.0,1704.0,2765.0,2737.0,5909.0,6039.0,6066.0,5953.0,203,279,7898,C
1766.0,1735.0,2808.0,2776.0,6016.0,6134.0,6162.0,6045.0,187,251,6113,C
1793.0,1769.0,2848.0,2818.0,6123.0,6237.0,6266.0,6142.0,179,267,8850,C
1829.0,1805.0,2891.0,2869.0,6232.0,6343.0,6384.0,6259.0,203,283,9267,C
1859.0,1833.0,2943.0,2913.0,6339.0,6457.0,6495.0,6364.0,195,273,8636,C
1898.0,1867.0,2991.0,2952.0,6443.0,6563.0,6612.0,6470.0,195,275,6553,C
1928.0,1893.0,3038.0,2997.0,6548.0,6671.0,6709.0,6563.0,179,259,5351,C
1961.0,1929.0,3094.0,3037.0,6655.0,6786.0,6817.0,6672.0,203,275,6303,C
1998.0,1966.0,3152.0,3093.0,6764.0,6890.0,6935.0,6786.0,203,283,7621,C
2028.0,1993.0,3186.0,3129.0,6852.0,6972.0,7024.0,6863.0,171,211,6391,C
2049.0,2017.0,3215.0,3160.0,6928.0,7051.0,7101.0,6930.0,139,187,4888,C
2074.0,2044.0,3259.0,3203.0,7019.0,7146.0,7188.0,7015.0,163,227,5250,C
